date,target_alloc,action,equity
2011-09-16,1.0,HOLD,2844561586.366627
2011-09-19,1.0,HOLD,2852245437.22121
2011-09-20,1.0,HOLD,2811521027.6919203
2011-09-21,1.0,HOLD,2668601401.7966766
2011-09-22,0.0,TRADE,2408887242.9117713
2011-09-23,0.0,HOLD,2408892520.5636973
2011-09-26,1.0,TRADE,2408908353.5971274
2011-09-27,1.0,HOLD,2482407800.8202524
2011-09-28,0.0,TRADE,2364952801.826435
2011-09-29,0.0,HOLD,2364957983.2247214
2011-09-30,0.0,HOLD,2364963164.6200624
2011-10-03,0.0,HOLD,2364978708.90813
2011-10-04,0.0,HOLD,2364983890.356372
2011-10-05,0.0,HOLD,2364988424.357751
2011-10-06,0.4,TRADE,2364992958.3704615
2011-10-07,0.4,HOLD,2345487580.511734
2011-10-10,0.30000000000000004,TRADE,2440706907.9821444
2011-10-11,0.7000000000000001,TRADE,2456360199.205291
2011-10-12,1.0,TRADE,2483707809.492695
2011-10-13,1.0,HOLD,2550558500.3277087
2011-10-14,1.0,HOLD,2691081381.062533
2011-10-17,1.0,HOLD,2566247948.176742
2011-10-18,1.0,HOLD,2659702485.364465
2011-10-19,1.0,HOLD,2506218756.406526
2011-10-20,1.0,HOLD,2474157710.801979
2011-10-21,1.0,HOLD,2562155048.737864
2011-10-24,1.0,HOLD,2722460276.7606006
2011-10-25,1.0,HOLD,2568294397.8961816
2011-10-26,1.0,HOLD,2558062149.2989855
2011-10-27,1.0,HOLD,2764071421.055864
2011-10-28,1.0,HOLD,2773621519.74658
2011-10-31,1.0,HOLD,2635827238.637675
2011-11-01,1.0,HOLD,2431864416.6002355
2011-11-02,1.0,HOLD,2491893608.370452
2011-11-03,1.0,HOLD,2643330887.6089516
2011-11-04,0.4,TRADE,2602401893.220168
2011-11-07,1.0,TRADE,2625603970.569557
2011-11-08,1.0,HOLD,2713124102.921876
2011-11-09,0.4,TRADE,2432386447.607131
2011-11-10,1.0,TRADE,2428349854.8209085
2011-11-11,1.0,HOLD,2564683003.9798365
2011-11-14,0.8,TRADE,2521488342.860176
2011-11-15,1.0,TRADE,2586281301.349769
2011-11-16,0.4,TRADE,2458845241.3766217
2011-11-17,0.0,TRADE,2390971599.911178
2011-11-18,0.4,TRADE,2390976183.742597
2011-11-21,0.0,TRADE,2335300235.4335647
2011-11-22,0.0,HOLD,2335304712.5350876
2011-11-23,0.0,HOLD,2335309828.973102
2011-11-25,0.0,HOLD,2335320061.8603415
2011-11-28,0.0,HOLD,2335335411.309814
2011-11-29,0.0,HOLD,2335340527.8119183
2011-11-30,0.4,TRADE,2335345644.3292527
2011-12-01,0.8,TRADE,2355258343.0113983
2011-12-02,0.8,HOLD,2337724456.7527237
2011-12-05,0.8,HOLD,2398833699.3971353
