bull_ma,bull_mom,blend_lo,blend_w,riskon_rv,def_frac,lev,A_cagr,A_dd,A_calmar,B_cagr,B_dd,B_calmar
30,15,0.28,0.1,0.14,0.3333333333333333,1.0,34.2,-49.54,0.69,42.08,-48.05,0.876
30,15,0.28,0.1,0.14,0.3333333333333333,1.3,33.71,-49.54,0.68,44.85,-48.05,0.933
30,15,0.28,0.1,0.14,0.5,1.0,34.79,-49.54,0.702,41.94,-48.05,0.873
30,15,0.28,0.1,0.14,0.5,1.3,34.3,-49.54,0.692,44.7,-48.05,0.93
30,15,0.28,0.1,0.14,0.6666666666666666,1.0,34.75,-49.54,0.701,42.46,-48.05,0.884
30,15,0.28,0.1,0.14,0.6666666666666666,1.3,34.25,-49.54,0.691,45.23,-48.05,0.941
30,15,0.28,0.1,0.16,0.3333333333333333,1.0,35.85,-49.54,0.724,43.47,-51.22,0.849
30,15,0.28,0.1,0.16,0.3333333333333333,1.3,36.17,-49.54,0.73,45.94,-53.54,0.858
30,15,0.28,0.1,0.16,0.5,1.0,36.44,-49.54,0.736,43.33,-51.22,0.846
30,15,0.28,0.1,0.16,0.5,1.3,36.77,-49.54,0.742,45.79,-53.54,0.855
30,15,0.28,0.1,0.16,0.6666666666666666,1.0,36.4,-49.54,0.735,43.85,-51.22,0.856
30,15,0.28,0.1,0.16,0.6666666666666666,1.3,36.72,-49.54,0.741,46.33,-53.54,0.865
30,15,0.28,0.1,0.18,0.3333333333333333,1.0,35.63,-49.54,0.719,42.76,-56.42,0.758
30,15,0.28,0.1,0.18,0.3333333333333333,1.3,35.69,-49.54,0.72,44.3,-62.37,0.71
30,15,0.28,0.1,0.18,0.5,1.0,36.23,-49.54,0.731,42.62,-56.42,0.755
30,15,0.28,0.1,0.18,0.5,1.3,36.29,-49.54,0.732,44.16,-62.37,0.708
30,15,0.28,0.1,0.18,0.6666666666666666,1.0,36.18,-49.54,0.73,43.14,-56.42,0.765
30,15,0.28,0.1,0.18,0.6666666666666666,1.3,36.24,-49.54,0.732,44.69,-62.37,0.716
30,15,0.28,0.14,0.14,0.3333333333333333,1.0,33.88,-49.54,0.684,41.6,-48.05,0.866
30,15,0.28,0.14,0.14,0.3333333333333333,1.3,33.39,-49.54,0.674,44.36,-48.05,0.923
30,15,0.28,0.14,0.14,0.5,1.0,33.94,-49.54,0.685,41.81,-48.05,0.87
30,15,0.28,0.14,0.14,0.5,1.3,33.45,-49.54,0.675,44.57,-48.05,0.928
30,15,0.28,0.14,0.14,0.6666666666666666,1.0,34.27,-49.54,0.692,42.26,-48.05,0.88
30,15,0.28,0.14,0.14,0.6666666666666666,1.3,33.78,-49.54,0.682,45.04,-48.05,0.937
30,15,0.28,0.14,0.16,0.3333333333333333,1.0,35.53,-49.54,0.717,42.99,-51.22,0.839
30,15,0.28,0.14,0.16,0.3333333333333333,1.3,35.84,-49.54,0.724,45.45,-53.54,0.849
30,15,0.28,0.14,0.16,0.5,1.0,35.59,-49.54,0.718,43.2,-51.22,0.843
30,15,0.28,0.14,0.16,0.5,1.3,35.91,-49.54,0.725,45.66,-53.54,0.853
30,15,0.28,0.14,0.16,0.6666666666666666,1.0,35.92,-49.54,0.725,43.66,-51.22,0.852
30,15,0.28,0.14,0.16,0.6666666666666666,1.3,36.24,-49.54,0.731,46.13,-53.54,0.862
30,15,0.28,0.14,0.18,0.3333333333333333,1.0,35.31,-49.54,0.713,42.28,-56.42,0.749
30,15,0.28,0.14,0.18,0.3333333333333333,1.3,35.37,-49.54,0.714,43.82,-62.37,0.703
30,15,0.28,0.14,0.18,0.5,1.0,35.37,-49.54,0.714,42.49,-56.42,0.753
